"ID []","Local []","Irradiance [W/m^2]","T_ambient [Degrees Celsius]","T_ground [Degrees Celsius]","Wind [m/s]","Cloud [okta]","Pressure [Pa]","Rain [mm/hr]","Diffuse [W/m^2]","Direct [W/m^2]","Elevation [Degrees]","Azimuth [Degrees]"
1,"0000-01-01 00:30:00",0,3.533,2.333,4.258,6.733,101513.887,0.085,0,0,-60.006,22.087
2,"0000-01-01 01:30:00",0,3.403,2.215,4.14,6.457,101521.62,0.066,0,0,-54.77,45.96
3,"0000-01-01 02:30:00",0.002,3.217,2.094,4.168,6.078,101513.737,0.071,0.002,0,-47.121,64.319
4,"0000-01-01 03:30:00",0,3.127,1.978,4.127,5.965,101508.415,0.063,0,0,-38.293,78.823
5,"0000-01-01 04:30:00",0,3.092,1.868,4.09,5.932,101506.323,0.069,0,0,-29.022,91.145
6,"0000-01-01 05:30:00",0,3.015,1.722,4.129,5.999,101506.279,0.07,0,0,-19.781,102.423
7,"0000-01-01 06:30:00",0,2.944,1.692,4.169,5.93,101521.857,0.063,0,0,-10.925,113.409
8,"0000-01-01 07:30:00",0.603,2.926,1.672,4.124,6.09,101551.556,0.111,0.601,0.002,-2.784,124.64
9,"0000-01-01 08:30:00",19.933,3.169,1.719,4.118,6.409,101575.652,0.135,16.977,2.957,4.292,136.49
10,"0000-01-01 09:30:00",56.044,3.636,1.857,4.333,6.303,101587.226,0.148,45.129,10.917,9.922,149.188
11,"0000-01-01 10:30:00",85.163,4.138,2.06,4.44,6.186,101563.725,0.136,62.965,22.196,13.721,162.74
12,"0000-01-01 11:30:00",107.334,4.71,2.262,4.55,6.153,101528.093,0.073,75.196,32.136,15.371,176.891
13,"0000-01-01 12:30:00",102.625,5.105,2.475,4.587,6.294,101491.877,0.105,75.47,27.156,14.721,191.161
14,"0000-01-01 13:30:00",77.888,5.188,2.596,4.576,6.457,101475.468,0.061,60.998,16.891,11.829,205.024
15,"0000-01-01 14:30:00",40.511,4.931,2.623,4.332,6.288,101474.722,0.048,33.838,6.673,6.955,218.113
16,"0000-01-01 15:30:00",6.151,4.48,2.601,4.116,6.09,101468.996,0.06,5.879,0.272,0.464,230.321
17,"0000-01-01 16:30:00",0,4.163,2.622,3.93,5.955,101463.482,0.035,0,0,-7.255,241.79
18,"0000-01-01 17:30:00",0,4.007,2.746,4.154,6.035,101451.357,0.073,0,0,-15.838,252.834
19,"0000-01-01 18:30:00",0,3.893,2.603,4.289,6.116,101435.656,0.078,0,0,-24.949,263.915
20,"0000-01-01 19:30:00",0.002,3.842,2.479,4.403,6.163,101426.79,0.045,0.002,0,-34.248,275.677
21,"0000-01-01 20:30:00",0.002,3.742,2.334,4.45,6.383,101417.228,0.078,0.002,0,-43.332,289.073
22,"0000-01-01 21:30:00",0,3.675,2.245,4.513,6.361,101401.044,0.176,0,0,-51.602,305.529
23,"0000-01-01 22:30:00",0,3.6,2.172,4.514,6.47,101394.196,0.232,0,0,-58.06,326.879
24,"0000-01-01 23:30:00",0,3.442,2.073,4.517,6.366,101377.444,0.143,0,0,-61.224,332.001
25,"0000-01-02 00:30:00",0.002,3.304,1.987,4.506,6.249,101353.3,0.243,0.002,0,-59.955,21.836
26,"0000-01-02 01:30:00",0.003,3.284,1.919,4.513,6.615,101349.503,0.244,0.003,0,-54.749,45.726
